Name,Date,Atoll,Site,Transect,Treatment,Tile,Height (cm),Latitude,Longitude,Depth,Camera,Photographer,Water quality,Strobes,Framing gear used,White balance card,Comments,Row,Column,Label code
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,108,1698,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,195,1981,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,579,402,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,449,129,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,637,225,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,431,137,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,739,190,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,703,104,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,523,355,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,744,398,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,635,491,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,674,606,BareP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,449,424,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,752,589,BareP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,499,615,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,654,754,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,620,622,BareP
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,443,412,_LOBO
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,606,845,*TURF
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,,Egmont,Il Lubine,1,Caged,2,,,,,,,,,,,,590,920,*TURF
