Name,Atoll,Site,Transect,Treatment,Row,Column,Label.code,Label_Count
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,703,104,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,523,355,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,744,398,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,635,491,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,674,606,BareP,144
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,449,424,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,752,589,BareP,144
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,499,615,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,654,754,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,620,622,BareP,144
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,443,412,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,606,845,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,590,920,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,594,874,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,770,1037,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,759,1091,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,652,894,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,773,1115,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,574,1116,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,683,1269,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,654,1385,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,740,1474,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,805,1498,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,801,1371,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,636,1390,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,484,1490,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,449,1613,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,604,1984,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,488,1995,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,748,1833,CCAG,1168
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,569,1803,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,488,1772,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,800,1772,BareP,144
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,615,1907,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,460,1634,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1100,19,Off,1024
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1012,302,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,858,44,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1100,42,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1107,390,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1211,301,CCAG,1168
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,873,21,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1114,90,CCAG,1168
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,919,509,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1024,781,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,892,515,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1082,550,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1169,504,CCAG,1168
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1095,664,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1030,733,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1087,716,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1026,1140,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1044,908,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1075,1031,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1136,1159,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1045,976,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1055,1151,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,911,953,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,976,903,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,840,1360,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,904,1380,_RDEN,201
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,893,1214,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,975,1291,_CCA,5677
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1129,1285,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,843,1399,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1096,1302,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1090,1267,*TURF,4139
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,840,1992,Off,1024
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,969,1913,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1211,2009,Off,1024
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,882,1908,_LOBO,2087
