Name,Atoll,Site,Transect,Treatment,Row,Column,Label.code,Label_Count
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,2006,88,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1876,702,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1759,536,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1693,1127,_RDUP,645
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1942,1310,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1712,1443,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1716,1950,_LOBO,2087
Egmont_2020_JMI_IMG_4875_IllLubine_Tile2_Caged.jpeg,Egmont,Il Lubine,1,Caged,1747,1923,_LOBO,2087
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,32,360,_RDUP,645
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,368,193,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,353,163,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,397,107,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,420,457,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,321,573,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,179,751,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,266,436,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,250,438,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,403,462,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,397,883,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,216,1002,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,143,884,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,114,1122,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,207,1102,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,290,1232,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,113,1382,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,376,1376,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,59,1426,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,269,1674,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,389,1408,_CCA,5677
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,165,1302,GREEN,197
Egmont_2020_JMI_IMG_4893_IllLubine_Tile2_Uncaged.jpeg,Egmont,Il Lubine,1,Uncaged,93,1316,GREEN,197
